9077,DEFEAT,2,35,8,0,44,0
9078,DEFEAT,3,67,3,0,48,0
9079,DEFEAT,7,261,15,6,69,0
9080,DEFEAT,5,159,6,3,60,0
9081,DEFEAT,6,207,9,0,60,0
9082,DEFEAT,6,229,7,2,64,0
9083,DEFEAT,7,257,6,0,72,0
9084,DEFEAT,5,164,12,0,59,0
9085,DEFEAT,5,169,9,2,53,0
9086,DEFEAT,3,86,5,2,48,0
9087,DEFEAT,2,43,6,0,44,0
9088,DEFEAT,3,82,9,0,46,0
9089,DEFEAT,4,121,8,0,53,0
9090,DEFEAT,4,128,7,2,56,0
9091,DEFEAT,5,181,8,8,60,0
9092,DEFEAT,2,40,8,0,44,0
9093,ACTIVE,3,4000,3929,0,38,10
9094,DEFEAT,2,41,7,0,44,0
9095,DEFEAT,3,77,4,0,48,0
9096,ACTIVE,4,4000,3890,1,46,9
9097,DEFEAT,2,41,6,0,44,0
9098,DEFEAT,4,123,9,0,54,0
9099,DEFEAT,6,190,14,1,64,0
9100,DEFEAT,2,28,5,0,44,0

